ID,Name,Difficulty,Category,Time Needed,Description
1,Cone Weave,Easy,Dribbling,15 minutes,"Dribble through 6 cones spaced 1 meter apart, 3 sets"
2,Zigzag Dribble,Easy,Dribbling,20 minutes,"Dribble in a zigzag pattern across 10 cones, 2 reps"
3,Figure 8 Dribble,Easy,Dribbling,25 minutes,Dribble around 2 cones in a figure-8 for 5 minutes
4,Straight Line Dribble,Easy,Dribbling,15 minutes,"Dribble 10 meters and back, repeat 4 sets"
5,Quick Touch Drill,Easy,Dribbling,20 minutes,"Tap ball rapidly with both feet for 30 seconds, 5 sets"
6,Cone Maze,Intermediate,Dribbling,15 minutes,"Dribble through a tighter cone layout, 4 sets"
7,Speed Cone Drill,Intermediate,Dribbling,20 minutes,"Dribble with speed through 8 staggered cones, 3 sets"
8,Close Control Sprint,Intermediate,Dribbling,25 minutes,"Short dribbles for 10m, sprint to return, 4 reps"
9,Fake and Go,Intermediate,Dribbling,15 minutes,"Practice step-over then accelerate past 6 cones, 3 sets"
10,Obstacle Course,Intermediate,Dribbling,20 minutes,"Mixed cone drill, timed rounds of 1 minute, 3 sets"
11,Timed Obstacle Drill,Hard,Dribbling,15 minutes,"Complete a cone maze under 20s, 5 rounds"
12,1v1 Moves,Hard,Dribbling,20 minutes,"Practice 3 skill moves vs passive defender, 3 reps each"
13,Blindfold Cone Drill,Hard,Dribbling,25 minutes,"Light blindfold dribble around 4 cones, 3 sets"
14,Speed + Control Drill,Hard,Dribbling,15 minutes,"Dribble with left only then right only, 20m each"
15,Mirror Dribble,Hard,Dribbling,20 minutes,"Partner mirrors your moves, 4 sets"
16,1-Touch Finish,Easy,Shooting,15 minutes,"Practice one-touch finishing from 5 crosses, 3 sets"
17,Target Practice,Easy,Shooting,20 minutes,"Shoot at five numbered targets from 12 yards, 4 sets"
18,1-Touch Finish,Easy,Shooting,25 minutes,"Practice one-touch finishing from 5 crosses, 3 sets"
19,Power Shots,Easy,Shooting,15 minutes,"Take 10 powerful shots from edge of box, 3 sets"
20,Target Practice,Easy,Shooting,20 minutes,"Shoot at five numbered targets from 12 yards, 4 sets"
21,Angle Shooting,Intermediate,Shooting,15 minutes,"Shoot from wide angles on both sides, 4 rounds"
22,Target Practice,Intermediate,Shooting,20 minutes,"Shoot at five numbered targets from 12 yards, 4 sets"
23,Rebound Shots,Intermediate,Shooting,25 minutes,"Shoot, collect rebound, shoot again — 3 reps, 4 sets"
24,Target Practice,Intermediate,Shooting,15 minutes,"Shoot at five numbered targets from 12 yards, 4 sets"
25,Rebound Shots,Intermediate,Shooting,20 minutes,"Shoot, collect rebound, shoot again — 3 reps, 4 sets"
26,Angle Shooting,Hard,Shooting,15 minutes,"Shoot from wide angles on both sides, 4 rounds"
27,Rebound Shots,Hard,Shooting,20 minutes,"Shoot, collect rebound, shoot again — 3 reps, 4 sets"
28,Target Practice,Hard,Shooting,25 minutes,"Shoot at five numbered targets from 12 yards, 4 sets"
29,Angle Shooting,Hard,Shooting,15 minutes,"Shoot from wide angles on both sides, 4 rounds"
30,Target Practice,Hard,Shooting,20 minutes,"Shoot at five numbered targets from 12 yards, 4 sets"
31,Wall Touches,Easy,Ball Control/Touch,15 minutes,"Pass and receive against a wall, control before return — 5 min"
32,Sole Rolls,Easy,Ball Control/Touch,20 minutes,"Roll ball with sole side to side for 1 min, 5 sets"
33,Sole Rolls,Easy,Ball Control/Touch,25 minutes,"Roll ball with sole side to side for 1 min, 5 sets"
